source,target,weight
K00033,K00205,0.6160990712074303
K00033,K00362,-0.6119711042311662
K00033,K00425,0.9442724458204333
K00033,K00432,-0.8390092879256965
K00033,K00528,0.8348813209494325
K00033,K00534,0.6181630546955624
K00033,K00835,0.6491228070175438
K00033,K01000,-0.7378740970072238
K00033,K01006,0.8658410732714137
K00033,K01007,0.8224974200206397
K00033,K01113,-0.6883384932920537
K00033,K01144,-0.8885448916408669
K00033,K01297,-0.8204334365325078
K00033,K01356,0.7481940144478844
K00033,K01610,-0.7667698658410733
K00033,K01841,0.826625386996904
K00033,K01924,-0.8844169246646028
K00033,K01928,-0.8059855521155831
K00033,K01929,-0.6883384932920537
K00033,K02228,0.7523219814241485
K00033,K02259,-0.7254901960784313
K00033,K02340,-0.6470588235294118
K00033,K02491,0.7296181630546955
K00033,K02552,-0.6057791537667698
K00033,K02573,0.6656346749226005
K00033,K02584,0.8575851393188855
K00033,K02657,0.6037151702786379
K00033,K02658,0.7502579979360166
K00033,K02668,0.8039215686274509
K00033,K03092,-0.6057791537667698
K00033,K03093,0.6429308565531475
K00033,K03105,0.6566856837950591
K00033,K03106,-0.6305469556243549
K00033,K03110,-0.651186790505676
K00033,K03367,-0.6078431372549019
K00033,K03385,0.6862745098039216
K00033,K03581,0.8410732714138286
K00033,K03629,-0.6078431372549019
K00033,K03631,-0.6181630546955624
K00033,K03672,0.6119711042311662
K00033,K03703,-0.7853457172342622
K00033,K03733,0.6305469556243549
K00033,K03737,0.7874097007223942
K00033,K03738,0.8307533539731682
K00033,K03880,-0.6830651261408545
K00033,K03881,-0.7623794426841942
K00033,K03882,-0.6279874788761631
K00033,K03883,-0.619828123279668
K00033,K04017,-0.7502579979360166
K00033,K04018,-0.7750257997936018
K00033,K04069,0.9050567595459237
K00033,K04070,0.739938080495356
K00033,K04479,0.7207874775304776
K00033,K04751,0.7316821465428276
K00033,K04802,0.6160990712074303
K00033,K05338,-0.6160990712074303
K00033,K05346,0.7296181630546955
K00033,K05362,0.6119711042311662
K00033,K05790,0.6284829721362228
K00033,K05799,0.8493292053663571
K00033,K05878,0.7337461300309597
K00033,K05879,0.762641898864809
K00033,K05881,0.760577915376677
K00033,K05982,0.6057791537667698
K00033,K06034,0.7313376381496967
K00033,K06217,-0.6553147574819401
K00033,K06792,0.8721396201962417
K00033,K07102,-0.6883384932920537
K00033,K07106,-0.78328173374613
K00033,K07232,-0.6429308565531475
K00033,K07342,0.6297841805108476
K00033,K07457,0.933952528379773
K00033,K07466,0.6656346749226005
K00033,K07641,0.7358101135190918
K00033,K07643,-0.632610939112487
K00033,K07646,0.6862745098039216
K00033,K07654,0.6140350877192982
K00033,K07658,0.7276951264510166
K00033,K07666,0.826625386996904
K00033,K07669,0.8924527878175067
K00033,K07689,0.8039215686274509
K00033,K07691,-0.670133495382559
K00033,K07692,0.7502579979360166
K00033,K07698,-0.6305469556243549
K00033,K07702,0.8121775025799793
K00033,K07703,0.6635706914344685
K00033,K07705,-0.6140350877192982
K00033,K07709,0.7543859649122806
K00033,K07713,0.8307533539731682
K00033,K07714,0.7997936016511867
K00033,K07719,0.6697626418988648
K00033,K07768,0.8534571723426212
K00033,K07781,-0.7252934644557852
K00033,K07799,0.651186790505676
K00033,K07803,0.8452012383900928
K00033,K07806,0.7543859649122806
K00033,K08280,-0.8059855521155831
K00033,K08348,0.8575851393188855
K00033,K08349,0.7812177502579979
K00033,K08358,0.78328173374613
K00033,K08477,0.8988648090815273
K00033,K08851,0.7007223942208461
K00033,K09001,-0.8534571723426212
K00033,K10001,-0.6429308565531475
K00033,K10715,0.6738906088751291
K00033,K10843,0.7853457172342622
K00033,K10848,0.6897636262737855
K00033,K10877,0.7486072704156336
K00033,K10906,0.8658410732714137
K00033,K10916,-0.7461300309597524
K00033,K10942,0.7069143446852425
K00033,K11260,0.6780185758513931
K00033,K11383,0.6449948400412797
K00033,K11384,0.6780185758513931
K00033,K11615,0.6945304437564499
K00033,K11617,0.6491228070175438
K00033,K11689,0.6470588235294118
